repo,childSha,parentSha,childBranch,timestamp,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,insFilesSrc,insFilesTest,modFilesSrc,modFilesTest,delFilesSrc,delFilesTest,newLinesSrc,newLinesTest,delLinesSrc,delLinesTest,insLinesAllFiles,delLinesAllFiles
F5Networks/k8s-bigip-ctlr,1c4e57448796b21a59005d4d2c4232310a2b0d22,4a6ae3ef16798ded955425256f75953046507abc,(HEAD detached at 1c4e5744),1750056758,0,0,0,0,0,0,0,0,14,2,0,0,0,23229,23245,23243,23231,31562,31562,0,0,0,0,0,0,0,0,0,0,2634,733,
F5Networks/k8s-bigip-ctlr,4a6ae3ef16798ded955425256f75953046507abc,3c3483ac18db097bbb5b052ffc7966b286a87db5,(HEAD detached at 4a6ae3ef),1749818953,9,2454,0,0,4,0,0,0,4196,13,0,0,0,19026,27423,23231,23218,31562,31550,0,0,5,0,0,0,22,0,10,0,24,10,
F5Networks/k8s-bigip-ctlr,3c3483ac18db097bbb5b052ffc7966b286a87db5,c961c2fca65d422f16e56d29b0b0b32eed58d7bd,(HEAD detached at 3c3483ac),1749794516,4,349,0,0,3,31,0,0,813,23,0,0,0,22401,24040,23218,23223,31554,31558,0,0,3,0,0,0,27,0,34,0,27,34,
F5Networks/k8s-bigip-ctlr,c961c2fca65d422f16e56d29b0b0b32eed58d7bd,e66e9a3b001da915e79658e61f6269d3ce0e91b2,(HEAD detached at c961c2fc),1749744509,28,2928,0,0,59,64,0,0,7298,7,0,0,0,15897,30560,23223,23234,31561,31522,0,0,6,3,0,0,122,11,136,9,137,147,
F5Networks/k8s-bigip-ctlr,e66e9a3b001da915e79658e61f6269d3ce0e91b2,d8317e908b9f30c8dfd4d5eee8003cb1f5d742eb,(HEAD detached at e66e9a3b),1749703406,0,140,0,0,0,6,0,0,47,11,0,0,0,23187,23286,23234,23239,31581,31579,0,0,1,0,0,0,8,0,6,0,8,6,
F5Networks/k8s-bigip-ctlr,d8317e908b9f30c8dfd4d5eee8003cb1f5d742eb,124a109b86d8461cfa396c2dc315bb0f057b08e2,(HEAD detached at d8317e90),1749637271,1,515,0,0,1,0,0,0,1324,13,0,0,0,21914,24569,23239,23244,31579,31578,0,0,1,0,0,0,1,0,1,0,3,2,
F5Networks/k8s-bigip-ctlr,124a109b86d8461cfa396c2dc315bb0f057b08e2,b8b754570879fb4c6c60eeb980a2d4ca93f06560,(HEAD detached at 124a109b),1749555771,22,2966,0,0,26,6,0,0,6765,12,0,0,0,16457,29986,23244,23199,31579,31560,0,0,3,2,0,0,28,15,32,11,43,43,
F5Networks/k8s-bigip-ctlr,b8b754570879fb4c6c60eeb980a2d4ca93f06560,f84988e81508a7e26c433bcd5883351c2805e1b4,(HEAD detached at b8b75457),1749191043,32,1589,0,0,9,1,0,0,2784,4,0,0,0,20383,25980,23199,23164,31586,31553,0,0,1,1,0,0,39,97,11,0,137,12,
F5Networks/k8s-bigip-ctlr,f84988e81508a7e26c433bcd5883351c2805e1b4,f933eb501ae4e1124b6815a20ca756d1a9d40f5a,(HEAD detached at f84988e8),1749187693,0,1670,0,0,0,0,0,0,2864,64,0,0,0,20300,26092,23164,23228,31562,31460,0,0,2,0,0,0,124,0,0,0,125,0,
F5Networks/k8s-bigip-ctlr,f933eb501ae4e1124b6815a20ca756d1a9d40f5a,b4c8bcd07e87660b818af06d581225ec4cd43cf0,(HEAD detached at f933eb50),1749183646,24,2759,0,0,0,58,0,0,6501,1,0,0,0,16703,29615,23228,23090,31460,31362,0,0,7,3,0,0,192,168,63,0,421,67,
F5Networks/k8s-bigip-ctlr,b4c8bcd07e87660b818af06d581225ec4cd43cf0,ef606cd56c72c94124a8845068b4ca5696e932fb,(HEAD detached at b4c8bcd0),1748428135,0,0,0,0,0,0,0,0,0,18,0,0,0,23090,23108,23090,23108,31362,31362,0,0,1,0,0,0,2,0,0,0,3,5,
F5Networks/k8s-bigip-ctlr,b4c8bcd07e87660b818af06d581225ec4cd43cf0,ef606cd56c72c94124a8845068b4ca5696e932fb,(HEAD detached at b4c8bcd0),1748428135,0,0,0,0,0,0,0,0,0,18,0,0,0,23090,23108,23090,23108,31362,31362,0,0,1,0,0,0,2,0,0,0,3,5,
F5Networks/k8s-bigip-ctlr,ef606cd56c72c94124a8845068b4ca5696e932fb,fd0a3b13c42894d236fb31d1763292546343fd71,(HEAD detached at ef606cd5),1748425346,0,0,0,0,0,0,0,0,24,7,0,0,0,23084,23115,23108,23091,31362,31362,0,0,0,0,0,0,0,0,0,0,75,15,
F5Networks/k8s-bigip-ctlr,fd0a3b13c42894d236fb31d1763292546343fd71,28c9fe55cffd3cfdcab1dfd9ed1577b7c9656007,(HEAD detached at fd0a3b13),1748346831,0,0,0,0,0,0,0,0,13,22,0,0,0,23078,23113,23091,23100,31362,31362,0,0,0,0,0,0,0,0,0,0,10,4,
F5Networks/k8s-bigip-ctlr,28c9fe55cffd3cfdcab1dfd9ed1577b7c9656007,029e7493a93acc9ad89edb8baa00ccce9f6eb315,(HEAD detached at 28c9fe55),1748236328,0,0,0,0,0,0,0,0,24,71,0,0,0,23076,23171,23100,23147,31362,31362,0,0,1,0,0,0,11,0,5,0,321,268,
F5Networks/k8s-bigip-ctlr,029e7493a93acc9ad89edb8baa00ccce9f6eb315,543662c8f5d40640f59baed5b5a5f6407a3ec955,(HEAD detached at 029e7493),1748019595,65,974,0,0,41,10,0,0,2461,21,0,0,0,20621,25652,23147,23126,31362,31232,0,0,2,0,0,0,161,0,58,0,335,169,
